"mini tennis ball, 30 balls"
""

,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F13,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,CENTER,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,B12,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,F13,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,CENTER,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,B12,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,F13,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,CENTER,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,B12,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,F13,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,CENTER,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,B12,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,F13,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,CENTER,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,B12,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,F13,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,CENTER,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,B12,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,F13,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,CENTER,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,B12,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,F13,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,CENTER,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,B12,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,F13,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,CENTER,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,B12,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,F13,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,CENTER,1.0,NOT_SCORED,,,31,38,0
,CUSTOM,B12,1.0,NOT_SCORED,,,31,38,0



